date,sessions,purchases,conversion_rate_pct
20170701,2048,3,0.146484375
20170702,1895,8,0.42216358839050133
20170703,2046,13,0.635386119257087
20170704,1938,7,0.36119711042311664
20170705,2885,41,1.4211438474870017
20170706,2658,30,1.1286681715575622
20170707,2450,38,1.5510204081632653
20170708,1859,14,0.75309306078536853
20170709,1921,19,0.98906819364914111
20170710,2769,44,1.5890213073311665
20170711,2635,40,1.5180265654648957
20170712,2554,48,1.8794048551292091
20170713,2741,62,2.2619481940897481
20170714,2382,44,1.8471872376154492
20170715,1721,16,0.92969203951191171
20170716,1766,27,1.5288788221970555
20170717,2671,49,1.8345189067764882
20170718,2804,50,1.783166904422254
20170719,2514,56,2.2275258552108195
20170720,2668,40,1.4992503748125936
20170721,2427,41,1.6893283889575608
20170722,1724,17,0.9860788863109049
20170723,1966,16,0.81383519837232965
20170724,2436,38,1.5599343185550083
20170725,2631,36,1.3683010262257698
20170726,2725,41,1.5045871559633028
20170727,2529,49,1.937524713325425
20170728,2433,42,1.7262638717632552
20170729,1597,19,1.1897307451471508
20170730,1799,22,1.2229016120066705
20170731,2620,61,2.3282442748091605